idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand
403,403,31.1089,121.3877,11661,13568,25229
404,404,31.1089,121.3977,6859,6654,13513
405,405,31.1089,121.4077,7917,7187,15104
406,406,31.1089,121.4177,930,1570,2500
407,407,31.1089,121.4277,3668,3690,7358
408,408,31.1089,121.4377,1364,1627,2991
409,409,31.1089,121.4477,1265,2021,3286
410,410,31.1089,121.4577,22,156,178
411,411,31.1089,121.4677,19,126,145
412,412,31.1089,121.4777,110,241,351
413,413,31.1089,121.4877,385,524,909
414,414,31.1089,121.4977,434,486,920
415,415,31.1089,121.5077,348,468,816
416,416,31.1089,121.5177,68,258,326
417,417,31.1089,121.5277,219,465,684
418,418,31.1089,121.5377,122,267,389
419,419,31.1089,121.5477,126,251,377
420,420,31.1089,121.5577,128,361,489
421,421,31.1089,121.5677,951,1196,2147
422,422,31.1089,121.5777,974,1228,2202
423,423,31.1089,121.5877,238,284,522
424,424,31.1089,121.5977,139,271,410
425,425,31.1089,121.6077,443,1298,1741
426,426,31.1089,121.6177,69,82,151
427,427,31.1089,121.6277,54,67,121
428,428,31.1089,121.6377,160,141,301
429,429,31.1189,121.2177,211,291,502
430,430,31.1189,121.2277,216,243,459
431,431,31.1189,121.2377,184,477,661
432,432,31.1189,121.2477,327,540,867
433,433,31.1189,121.2577,5501,2680,8181
434,434,31.1189,121.2677,1626,1705,3331
435,435,31.1189,121.2777,1195,1230,2425
436,436,31.1189,121.2877,308,653,961
437,437,31.1189,121.2977,104,329,433
438,438,31.1189,121.3077,319,616,935
439,439,31.1189,121.3177,691,1027,1718
440,440,31.1189,121.3277,948,1464,2412
441,441,31.1189,121.3377,269,958,1227
442,442,31.1189,121.3477,539,951,1490
443,443,31.1189,121.3577,3564,4177,7741
444,444,31.1189,121.3677,6713,6747,13460
445,445,31.1189,121.3777,9921,9653,19574
446,446,31.1189,121.3877,1977,3127,5104
447,447,31.1189,121.3977,7774,6834,14608
448,448,31.1189,121.4077,2803,4060,6863
449,449,31.1189,121.4177,5870,6814,12684
450,450,31.1189,121.4277,4078,5356,9434
451,451,31.1189,121.4377,2343,3633,5976
452,452,31.1189,121.4477,4835,5453,10288
453,453,31.1189,121.4577,1279,3195,4474
454,454,31.1189,121.4677,15,108,123
455,455,31.1189,121.4777,70,247,317
456,456,31.1189,121.4877,441,1100,1541
457,457,31.1189,121.4977,2517,2489,5006
458,458,31.1189,121.5077,191,256,447
459,459,31.1189,121.5177,77,207,284
460,460,31.1189,121.5277,154,324,478
461,461,31.1189,121.5377,333,535,868
462,462,31.1189,121.5477,846,939,1785
463,463,31.1189,121.5577,1234,1880,3114
464,464,31.1189,121.5677,7403,7823,15226
465,465,31.1189,121.5777,2907,3375,6282
466,466,31.1189,121.5877,986,1332,2318
467,467,31.1189,121.5977,401,671,1072
468,468,31.1189,121.6077,42,48,90
469,469,31.1189,121.6177,281,257,538
470,470,31.1189,121.6277,107,106,213
471,471,31.1189,121.6377,109,110,219
472,472,31.1289,121.2177,114,161,275
473,473,31.1289,121.2277,53,86,139
474,474,31.1289,121.2377,4,19,23
475,475,31.1289,121.2477,22,105,127
476,476,31.1289,121.2577,25,122,147
477,477,31.1289,121.2677,342,535,877
478,478,31.1289,121.2777,84,211,295
479,479,31.1289,121.2877,816,817,1633
480,480,31.1289,121.2977,379,466,845
481,481,31.1289,121.3077,829,1242,2071
482,482,31.1289,121.3177,2969,3424,6393
483,483,31.1289,121.3277,3962,4355,8317
484,484,31.1289,121.3377,1583,2000,3583
485,485,31.1289,121.3477,1623,2196,3819
486,486,31.1289,121.3577,1407,1202,2609
487,487,31.1289,121.3677,8335,6619,14954
488,488,31.1289,121.3777,5238,5594,10832
489,489,31.1289,121.3877,8747,8181,16928
490,490,31.1289,121.3977,29522,19698,49220
491,491,31.1289,121.4077,9442,9398,18840
492,492,31.1289,121.4177,23730,19647,43377
493,493,31.1289,121.4277,6338,7145,13483
494,494,31.1289,121.4377,1588,2654,4242
495,495,31.1289,121.4477,4970,6284,11254
496,496,31.1289,121.4577,240,938,1178
497,497,31.1289,121.4677,155,416,571
498,498,31.1289,121.4777,129,306,435
499,499,31.1289,121.4877,877,999,1876
500,500,31.1289,121.4977,1923,2637,4560
501,501,31.1289,121.5077,884,1999,2883
502,502,31.1289,121.5177,1253,1874,3127
503,503,31.1289,121.5277,1529,2365,3894
504,504,31.1289,121.5377,1197,1157,2354
505,505,31.1289,121.5477,888,899,1787
506,506,31.1289,121.5577,1319,1119,2438
507,507,31.1289,121.5677,2984,3124,6108
508,508,31.1289,121.5777,1746,2205,3951
509,509,31.1289,121.5877,943,1312,2255
510,510,31.1289,121.5977,1002,1414,2416
511,511,31.1289,121.6077,409,344,753
512,512,31.1289,121.6177,1376,1086,2462
513,513,31.1289,121.6277,252,294,546
514,514,31.1289,121.6377,3,28,31
515,515,31.1389,121.2177,18,66,84
516,516,31.1389,121.2277,248,224,472
517,517,31.1389,121.2377,22,100,122
518,518,31.1389,121.2477,4,22,26
519,519,31.1389,121.2577,46,69,115
520,520,31.1389,121.2677,130,338,468
521,521,31.1389,121.2777,30,124,154
522,522,31.1389,121.2877,448,710,1158
523,523,31.1389,121.2977,486,790,1276
524,524,31.1389,121.3077,2690,3568,6258
525,525,31.1389,121.3177,8839,6998,15837
526,526,31.1389,121.3277,2345,2491,4836
527,527,31.1389,121.3377,1846,2488,4334
528,528,31.1389,121.3477,4822,4786,9608
529,529,31.1389,121.3577,8234,7381,15615
530,530,31.1389,121.3677,5223,4304,9527
531,531,31.1389,121.3777,8097,8639,16736
532,532,31.1389,121.3877,16470,17025,33495
533,533,31.1389,121.3977,18320,20060,38380
534,534,31.1389,121.4077,10077,13338,23415
535,535,31.1389,121.4177,17018,15829,32847
536,536,31.1389,121.4277,10754,11194,21948
537,537,31.1389,121.4377,11565,11843,23408
538,538,31.1389,121.4477,7712,9604,17316
539,539,31.1389,121.4577,11,157,168
540,540,31.1389,121.4677,198,658,856
541,541,31.1389,121.4777,54,369,423
542,542,31.1389,121.4877,2688,3099,5787
543,543,31.1389,121.4977,4487,5166,9653
544,544,31.1389,121.5077,7127,7245,14372
545,545,31.1389,121.5177,2508,3701,6209
546,546,31.1389,121.5277,904,2194,3098
547,547,31.1389,121.5377,442,905,1347
548,548,31.1389,121.5477,753,627,1380
549,549,31.1389,121.5577,1379,2194,3573
550,550,31.1389,121.5677,5309,3961,9270
551,551,31.1389,121.5777,2866,2929,5795
552,552,31.1389,121.5877,452,537,989
553,553,31.1389,121.5977,971,1041,2012
554,554,31.1389,121.6077,1703,2165,3868
555,555,31.1389,121.6177,829,819,1648
556,556,31.1389,121.6277,332,340,672
557,557,31.1389,121.6377,29,76,105
558,558,31.1489,121.2177,61,156,217
559,559,31.1489,121.2277,242,344,586
560,560,31.1489,121.2377,49,122,171
561,561,31.1489,121.2477,3,42,45
562,562,31.1489,121.2577,11,57,68
563,563,31.1489,121.2677,33,97,130
564,564,31.1489,121.2777,182,367,549
565,565,31.1489,121.2877,481,970,1451
566,566,31.1489,121.2977,1935,2045,3980
567,567,31.1489,121.3077,6982,6702,13684
568,568,31.1489,121.3177,3503,4253,7756
569,569,31.1489,121.3277,2478,3095,5573
570,570,31.1489,121.3377,4312,5335,9647
571,571,31.1489,121.3477,8438,7872,16310
572,572,31.1489,121.3577,6777,5965,12742
573,573,31.1489,121.3677,529,1829,2358
574,574,31.1489,121.3777,10112,10389,20501
575,575,31.1489,121.3877,3981,5613,9594
576,576,31.1489,121.3977,14749,14177,28926
577,577,31.1489,121.4077,16673,15155,31828
578,578,31.1489,121.4177,2032,3688,5720
579,579,31.1489,121.4277,28587,21077,49664
580,580,31.1489,121.4377,5449,5568,11017
581,581,31.1489,121.4477,3531,4882,8413
582,582,31.1489,121.4577,100,298,398
583,583,31.1489,121.4677,1769,1863,3632
584,584,31.1489,121.4777,645,1219,1864
585,585,31.1489,121.4877,6579,7276,13855
586,586,31.1489,121.4977,10326,10133,20459
587,587,31.1489,121.5077,7991,8372,16363
588,588,31.1489,121.5177,8232,7244,15476
589,589,31.1489,121.5277,5405,5723,11128
590,590,31.1489,121.5377,2985,3837,6822
591,591,31.1489,121.5477,1527,1523,3050
592,592,31.1489,121.5577,4178,3301,7479
593,593,31.1489,121.5677,3165,2521,5686
594,594,31.1489,121.5777,2998,2528,5526
595,595,31.1489,121.5877,929,758,1687
596,596,31.1489,121.5977,343,412,755
597,597,31.1489,121.6077,894,810,1704
598,598,31.1489,121.6177,1090,780,1870
599,599,31.1489,121.6277,74,93,167
600,600,31.1489,121.6377,37,111,148
601,601,31.158900000000003,121.2177,1002,894,1896
602,602,31.158900000000003,121.2277,1053,715,1768
603,603,31.158900000000003,121.2377,118,79,197
604,604,31.158900000000003,121.2477,296,171,467
605,605,31.158900000000003,121.2577,637,560,1197
606,606,31.158900000000003,121.2677,253,569,822
607,607,31.158900000000003,121.2777,484,692,1176
608,608,31.158900000000003,121.2877,209,452,661
609,609,31.158900000000003,121.2977,937,1070,2007
610,610,31.158900000000003,121.3077,1816,3061,4877
611,611,31.158900000000003,121.3177,2238,2807,5045
612,612,31.158900000000003,121.3277,2619,2955,5574
613,613,31.158900000000003,121.3377,9404,8782,18186
614,614,31.158900000000003,121.3477,21189,17443,38632
615,615,31.158900000000003,121.3577,6245,6051,12296
616,616,31.158900000000003,121.3677,7338,8372,15710
617,617,31.158900000000003,121.3777,16152,16105,32257
618,618,31.158900000000003,121.3877,7625,8128,15753
619,619,31.158900000000003,121.3977,17360,16958,34318
620,620,31.158900000000003,121.4077,10307,10357,20664
621,621,31.158900000000003,121.4177,17237,16563,33800
622,622,31.158900000000003,121.4277,22936,37399,60335
623,623,31.158900000000003,121.4377,6247,6118,12365
624,624,31.158900000000003,121.4477,9867,11811,21678
625,625,31.158900000000003,121.4577,936,1547,2483
626,626,31.158900000000003,121.4677,101,195,296
627,627,31.158900000000003,121.4777,2820,3718,6538
628,628,31.158900000000003,121.4877,11880,10954,22834
629,629,31.158900000000003,121.4977,9834,11269,21103
630,630,31.158900000000003,121.5077,4339,5326,9665
631,631,31.158900000000003,121.5177,3451,3878,7329
632,632,31.158900000000003,121.5277,3105,4790,7895
633,633,31.158900000000003,121.5377,1348,2525,3873
634,634,31.158900000000003,121.5477,143,429,572
635,635,31.158900000000003,121.5577,4702,4540,9242
636,636,31.158900000000003,121.5677,6715,7103,13818
637,637,31.158900000000003,121.5777,463,892,1355
638,638,31.158900000000003,121.5877,925,2165,3090
639,639,31.158900000000003,121.5977,744,446,1190
640,640,31.158900000000003,121.6077,679,452,1131
641,641,31.158900000000003,121.6177,1461,791,2252
642,642,31.158900000000003,121.6277,1367,873,2240
643,643,31.158900000000003,121.6377,263,464,727
644,644,31.1689,121.2177,52,46,98
645,645,31.1689,121.2277,51,85,136
646,646,31.1689,121.2377,230,384,614
647,647,31.1689,121.2477,225,219,444
648,648,31.1689,121.2577,764,784,1548
649,649,31.1689,121.2677,4621,4401,9022
650,650,31.1689,121.2777,1054,1443,2497
651,651,31.1689,121.2877,1794,1492,3286
652,652,31.1689,121.2977,740,861,1601
653,653,31.1689,121.3077,1780,1697,3477
