time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
605,38,406.0,0.0,552.0
606,38,395.0,0.0,553.0
607,40,383.0,0.0,547.0
608,15,372.0,0.0,556.0
609,38,369.0,0.0,554.0
610,30,368.0,0.0,555.0
611,31,370.0,0.0,555.0
612,31,357.0,0.0,556.0
613,21,358.0,0.0,558.0
614,30,355.0,0.0,556.0
615,26,382.0,0.0,547.0
616,33,390.0,0.0,545.0
617,23,385.0,0.0,547.0
618,27,384.0,0.0,546.0
619,36,389.0,0.0,537.0
620,29,372.0,0.0,549.0
621,25,362.0,0.0,554.0
622,27,369.0,0.0,554.0
623,20,351.0,0.0,560.0
624,16,333.0,0.0,567.0
625,14,329.0,0.0,568.0
626,12,318.0,0.0,570.0
627,18,315.0,0.0,562.0
628,16,305.0,0.0,563.0
629,13,300.0,0.0,559.0
630,10,278.0,0.0,572.0
631,6,273.0,0.0,573.0
632,11,271.0,0.0,566.0
633,10,268.0,0.0,561.0
634,5,257.0,0.0,573.0
635,14,262.0,0.0,568.0
636,21,286.0,0.0,561.0
637,15,296.0,0.0,569.0
638,20,306.0,0.0,563.0
639,18,309.0,0.0,571.0
640,14,315.0,0.0,576.0
641,20,332.0,0.0,569.0
642,16,341.0,0.0,571.0
643,22,354.0,0.0,568.0
644,18,395.0,0.0,564.0
645,12,389.0,0.0,579.0
646,24,409.0,0.0,568.0
647,28,407.0,0.0,565.0
648,25,409.0,0.0,566.0
649,28,416.0,0.0,565.0
650,13,419.0,0.0,578.0
651,33,440.0,0.0,558.0
652,41,444.0,0.0,551.0
653,18,443.0,0.0,566.0
654,23,442.0,0.0,569.0
655,36,476.0,0.0,553.0
656,18,468.0,0.0,566.0
657,30,478.0,0.0,557.0
658,27,474.0,0.0,556.0
659,21,476.0,0.0,557.0
660,22,487.0,0.0,548.0
661,29,495.0,0.0,530.0
662,21,483.0,0.0,540.0
663,31,486.0,0.0,539.0
664,48,483.0,0.0,525.0
665,25,477.0,0.0,539.0
666,26,472.0,0.0,546.0
667,35,475.0,0.0,532.0
668,21,469.0,0.0,548.0
669,28,465.0,0.0,549.0
670,27,457.0,0.0,549.0
671,21,441.0,0.0,556.0
672,28,441.0,0.0,551.0
673,18,424.0,0.0,554.0
674,16,415.0,0.0,560.0
