time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
24,0.0024285714285714284,51,80.03019437839397,2210,0.10523809523809524,66667.03279548849
25,0.0022380952380952382,47,80.10148212554881,2226,0.106,66586.8183296828
26,0.0031904761904761906,67,79.04605797347425,1371,0.06528571428571428,70159.44417951065
27,0.004047619047619047,85,76.85512834759197,837,0.039857142857142855,71593.17693470244
28,0.005,105,75.0473180199432,1118,0.05323809523809524,74044.66733892576
29,0.006380952380952381,134,73.1432887934886,952,0.04533333333333334,69773.48946451693
30,0.009047619047619047,190,71.59738974818806,1330,0.06333333333333334,72691.66706492713
31,0.010904761904761905,229,70.2099108250467,1359,0.06471428571428571,69211.74973080566
32,0.01561904761904762,328,69.67176733708413,1969,0.09376190476190477,67849.14118934535
33,0.016142857142857143,339,69.14531486773983,1943,0.09252380952380952,66143.64360134165
34,0.017285714285714286,363,69.57555839058818,2592,0.12342857142857143,63531.55418701504
35,0.021761904761904764,457,69.55958393439106,2109,0.10042857142857142,60545.28458420389
36,0.02204761904761905,463,69.47706432566254,2079,0.099,60611.71862891403
37,0.034333333333333334,721,69.33879507832438,1956,0.09314285714285714,61449.27299615613
38,0.041095238095238094,863,67.48718937041104,908,0.043238095238095235,62460.148921728825
39,0.046380952380952384,974,66.08164560065681,1396,0.06647619047619048,71505.49237231268
40,0.059476190476190474,1249,64.2915586424351,1121,0.05338095238095238,71472.79288533707
41,0.077,1617,62.874399906982724,1594,0.0759047619047619,71613.32296198294
42,0.09938095238095238,2087,61.093688061090866,1311,0.06242857142857143,71534.79331103987
43,0.13185714285714287,2769,59.20488372317224,1406,0.06695238095238096,75346.45767315757
44,0.15928571428571428,3345,58.158874469028916,1938,0.09228571428571429,72693.59359036617
45,0.16104761904761905,3382,57.83180774391338,2408,0.11466666666666667,67035.10045474832
46,0.16,3360,59.13031682474887,3312,0.15771428571428572,57121.85400994189
47,0.14976190476190476,3145,61.05545004885966,3644,0.17352380952380952,53623.658211185095
48,0.09742857142857143,2046,65.03594428823921,4918,0.2341904761904762,52433.19052849538
49,0.052571428571428575,1104,70.09063659428845,5693,0.2710952380952381,43654.98595770145
50,0.028904761904761905,607,77.60096440753566,6816,0.32457142857142857,29700.120357763346
51,0.015333333333333332,322,84.54068795176069,5691,0.271,27103.255306670155
52,0.00780952380952381,164,91.4414098655411,4579,0.21804761904761905,15667.168473970329
53,0.006,126,95.16468497285089,2106,0.10028571428571428,15087.506687801499
54,0.004761904761904762,100,97.21537171608135,1030,0.04904761904761905,9039.238425577758
55,0.0033809523809523808,71,97.94838772962609,395,0.01880952380952381,9129.812705365746
56,0.002761904761904762,58,98.25671332234732,279,0.013285714285714286,9225.643764151295
57,0.0026666666666666666,56,98.46116339182916,194,0.009238095238095238,8810.813469304576
58,0.0030476190476190477,64,97.82109310608004,125,0.005952380952380952,22817.890527474043
59,0.0022380952380952382,47,97.7749838251182,130,0.006190476190476191,22695.38564174636
60,0.0017142857142857142,36,96.29571240699174,104,0.004952380952380952,40441.36819057022
61,0.0012857142857142856,27,94.53093342870163,103,0.004904761904761905,44987.718228830934
62,0.0017142857142857142,36,92.27889161050764,150,0.007142857142857143,52559.2032071657
63,0.0024285714285714284,51,89.52252528887047,169,0.008047619047619048,52604.06479517674
64,0.002380952380952381,50,86.56829768975676,162,0.007714285714285714,63836.18651155672
65,0.003142857142857143,66,83.33708858217057,149,0.007095238095238095,60770.82688205372
66,0.0033809523809523808,71,79.36422938604957,130,0.006190476190476191,69876.84863802137
67,0.003761904761904762,79,76.6629241024781,895,0.04261904761904762,75828.16740286443
68,0.006333333333333333,133,75.37144007170913,1504,0.07161904761904762,71461.26320993736
69,0.005619047619047619,118,74.49795486909896,1773,0.08442857142857142,68049.40715070981
70,0.004952380952380952,104,74.2433187577104,2256,0.10742857142857143,65389.539347422215
71,0.006,126,74.80388205156284,2788,0.13276190476190478,65244.52957188668
72,0.008619047619047618,181,75.10302484745519,2537,0.12080952380952381,65873.62634636575
73,0.012095238095238095,254,75.02870847736199,2169,0.10328571428571429,66771.69096225372
74,0.012714285714285714,267,73.71107995531938,1286,0.06123809523809524,69919.48897428172
75,0.016904761904761905,355,71.0024011323299,589,0.028047619047619047,70403.18440271232
76,0.02180952380952381,458,68.7080005062885,1034,0.04923809523809524,76533.83534840377
77,0.031142857142857142,654,66.40451807028849,966,0.046,69951.48390439468
