time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
136,5,2117.0,33.0,2089.0,2117.0,150,4874.472739518796,725275.1718729696,155
137,9,2142.0,34.0,2117.0,2142.0,226,5841.636709322444,731116.808582292,235
138,6,2159.0,23.0,2142.0,2159.0,176,5235.71871517009,736352.5272974621,182
139,6,2174.0,21.0,2159.0,2174.0,163,5096.965840461584,741449.4931379237,169
140,4,2192.0,22.0,2174.0,2192.0,215,5611.584827908133,747061.0779658317,219
141,3,2226.0,37.0,2192.0,2226.0,168,5052.508893572016,752113.5868594038,171
142,6,2245.0,25.0,2226.0,2245.0,158,5012.077497356799,757125.6643567606,164
143,3,2256.0,14.0,2245.0,2256.0,225,5747.72718366186,762873.3915404225,228
144,8,2272.0,24.0,2256.0,2272.0,180,5330.437527017166,768203.8290674397,188
145,6,2283.0,17.0,2272.0,2283.0,141,4755.824988229513,772959.6540556692,147
146,3,2299.0,19.0,2283.0,2299.0,234,5854.267894430709,778813.9219500999,237
147,1,2314.0,16.0,2299.0,2314.0,166,5000.453625362412,783814.3755754622,167
148,10,2315.0,11.0,2314.0,2315.0,152,5005.435490214405,788819.8110656766,162
149,4,2312.0,1.0,2315.0,2312.0,232,5857.58998322301,794677.4010488996,236
150,6,2310.0,4.0,2312.0,2310.0,161,5048.220024984759,799725.6210738844,167
151,3,2313.0,6.0,2310.0,2313.0,169,5099.234353589461,804824.8554274739,172
152,3,2311.0,1.0,2313.0,2311.0,218,5612.533908695604,810437.3893361695,221
153,2,2313.0,4.0,2311.0,2313.0,164,5027.561911304512,815464.951247474,166
154,1,2329.0,17.0,2313.0,2329.0,164,4986.831390267682,820451.7826377416,165
155,2,2349.0,22.0,2329.0,2349.0,228,5766.361645217143,826218.1442829588,230
156,15,2380.0,46.0,2349.0,2380.0,168,5302.236454569505,831520.3807375283,183
157,4,2408.0,32.0,2380.0,2408.0,166,5073.366315556657,836593.747053085,170
158,4,2429.0,25.0,2408.0,2429.0,216,5654.969594028371,842248.7166471134,220
159,3,2454.0,28.0,2429.0,2454.0,160,4951.806657732915,847200.5233048464,163
160,6,2460.0,12.0,2454.0,2460.0,172,5221.593387736473,852422.1166925828,178
161,2,2482.0,24.0,2460.0,2482.0,204,5490.165875308514,857912.2825678914,206
162,3,2500.0,21.0,2482.0,2500.0,182,5264.788473027983,863177.0710409194,185
163,7,2518.0,25.0,2500.0,2518.0,175,5286.660652328293,868463.7316932477,182
164,12,2532.0,26.0,2518.0,2532.0,193,5521.519160998945,873985.2508542467,205
165,6,2543.0,17.0,2532.0,2543.0,177,5212.806938063312,879198.05779231,183
166,5,2571.0,33.0,2543.0,2571.0,174,5137.782692490915,884335.840484801,179
167,5,2590.0,24.0,2571.0,2590.0,179,5263.4591955787055,889599.2996803797,184
168,8,2611.0,29.0,2590.0,2611.0,179,5291.020963406718,894890.3206437865,187
169,17,2620.0,26.0,2611.0,2620.0,190,5613.440910471596,900503.7615542581,207
170,7,2642.0,29.0,2620.0,2642.0,155,4953.034285610614,905456.7958398687,162
171,9,2662.0,29.0,2642.0,2662.0,195,5497.3214991977,910954.1173390665,204
172,9,2683.0,30.0,2662.0,2683.0,178,5279.922541473006,916234.0398805395,187
173,3,2711.0,31.0,2683.0,2711.0,175,5144.416783018541,921378.456663558,178
