time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
63,0.020285714285714285,426,82.25254397236559,1034,0.04923809523809524,102482.3575482658
64,0.03219047619047619,676,78.67797107055634,1293,0.06157142857142857,119917.57652542215
65,0.04652380952380952,977,74.20075382521993,1041,0.04957142857142857,118939.1202099365
66,0.0688095238095238,1445,67.70673121476011,825,0.039285714285714285,141256.2970482145
67,0.0929047619047619,1951,61.78896524928778,1614,0.07685714285714286,151044.09251568402
68,0.09409523809523809,1976,58.23777963325134,2834,0.13495238095238096,136776.67661250578
69,0.10652380952380952,2237,55.53317488237476,3471,0.16528571428571429,136450.2682241654
70,0.11361904761904762,2386,53.95874534095575,4168,0.19847619047619047,133228.96807031895
71,0.12033333333333333,2527,53.673735864974795,4962,0.2362857142857143,128518.5930590435
72,0.14523809523809525,3050,53.128701137434945,4922,0.23438095238095238,130188.08448078923
73,0.17742857142857144,3726,52.14645993055741,4595,0.21880952380952381,131486.06806907005
74,0.211,4431,49.45485161752761,3649,0.17376190476190476,136145.27770354104
75,0.26204761904761903,5503,45.19161422248486,2693,0.12823809523809523,144042.57663515193
