time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
269,14,926.0,0.0,384.0
270,13,940.0,0.0,383.0
271,21,953.0,0.0,376.0
272,7,959.0,0.0,391.0
273,9,970.0,0.0,389.0
274,6,988.0,0.0,400.0
275,6,1003.0,0.0,399.0
276,11,1017.0,0.0,398.0
277,8,1029.0,0.0,398.0
278,8,1035.0,0.0,398.0
279,7,1042.0,0.0,400.0
280,11,1060.0,0.0,402.0
281,18,1066.0,0.0,398.0
282,22,1069.0,0.0,393.0
283,16,1076.0,0.0,393.0
284,14,1075.0,0.0,398.0
285,6,1073.0,0.0,405.0
286,13,1083.0,0.0,401.0
287,8,1081.0,0.0,407.0
288,17,1085.0,0.0,398.0
289,12,1090.0,0.0,396.0
290,10,1082.0,0.0,399.0
291,9,1078.0,0.0,400.0
292,3,1073.0,0.0,407.0
293,4,1073.0,0.0,405.0
294,2,1069.0,0.0,407.0
295,5,1067.0,0.0,404.0
296,9,1064.0,0.0,399.0
297,10,1060.0,0.0,398.0
298,4,1056.0,0.0,405.0
299,5,1083.0,0.0,406.0
300,6,1108.0,0.0,410.0
301,12,1135.0,0.0,406.0
302,8,1156.0,0.0,409.0
303,9,1168.0,0.0,409.0
304,7,1197.0,0.0,415.0
305,11,1225.0,0.0,413.0
306,15,1249.0,0.0,410.0
307,11,1262.0,0.0,415.0
308,8,1275.0,0.0,424.0
309,10,1300.0,0.0,427.0
310,11,1316.0,0.0,426.0
311,17,1335.0,0.0,426.0
312,20,1345.0,0.0,429.0
313,13,1333.0,0.0,450.0
314,21,1338.0,0.0,456.0
315,33,1326.0,0.0,468.0
316,34,1301.0,0.0,491.0
317,38,1255.0,0.0,530.0
318,37,1234.0,0.0,555.0
319,68,1239.0,0.0,513.0
320,51,1203.0,0.0,535.0
321,106,1182.0,0.0,483.0
322,57,1114.0,0.0,522.0
323,72,1076.0,0.0,504.0
324,66,1030.0,0.0,504.0
325,91,963.0,0.0,500.0
326,63,902.0,0.0,523.0
327,71,865.0,0.0,516.0
328,61,812.0,0.0,528.0
329,72,774.0,0.0,514.0
330,34,732.0,0.0,546.0
331,48,724.0,0.0,536.0
332,54,694.0,0.0,533.0
333,71,661.0,0.0,517.0
334,52,611.0,0.0,531.0
335,32,577.0,0.0,546.0
336,32,556.0,0.0,546.0
337,34,540.0,0.0,535.0
338,55,524.0,0.0,504.0
339,42,499.0,0.0,498.0
340,28,475.0,0.0,499.0
341,47,441.0,0.0,490.0
342,34,420.0,0.0,480.0
343,34,370.0,0.0,497.0
