time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
41,28,7.0,29.0,6.0,7.0,0,3734.320985199107,163275.94146461439,28
42,37,9.0,39.0,7.0,9.0,0,4217.173168028498,167493.1146326429,37
43,28,10.0,29.0,9.0,10.0,0,3854.3635540206587,171347.47818666353,28
44,34,14.0,38.0,10.0,14.0,14,4732.335784144689,176079.81397080823,48
45,37,4.0,27.0,14.0,4.0,0,4187.029277811041,180266.84324861926,37
46,22,0.0,18.0,4.0,0.0,0,3710.2386178269394,183977.0818664462,22
47,9,1.0,10.0,0.0,1.0,0,3176.912889237372,187153.99475568358,9
48,15,3.0,17.0,1.0,3.0,3,3399.9696512686787,190553.96440695226,18
49,14,4.0,15.0,3.0,4.0,0,3368.071744515475,193922.03615146774,14
50,5,10.0,11.0,4.0,10.0,0,3202.60368761886,197124.6398390866,5
51,8,16.0,14.0,10.0,16.0,0,3299.785695742362,200424.42553482894,8
52,3,14.0,1.0,16.0,14.0,14,3284.355066968251,203708.7806017972,17
53,20,1.0,7.0,14.0,1.0,0,3587.1187310939754,207295.89933289116,20
54,1,1.0,1.0,1.0,1.0,0,3023.5035142606966,210319.40284715185,1
55,1,1.0,1.0,1.0,1.0,0,3023.5048165444764,213342.90766369633,1
56,1,1.0,1.0,1.0,1.0,1,3035.9036557843515,216378.81131948068,2
57,7,0.0,6.0,1.0,0.0,0,3387.8178909096196,219766.6292103903,7
58,7,1.0,8.0,0.0,1.0,0,3410.926186519299,223177.5553969096,7
59,15,5.0,19.0,1.0,5.0,0,3773.9750725889276,226951.5304694985,15
60,23,13.0,31.0,5.0,13.0,13,4297.570179174709,231249.10064867322,36
61,43,11.0,41.0,13.0,11.0,0,4823.4865084112025,236072.58715708443,43
62,23,22.0,34.0,11.0,22.0,0,3879.0918986860447,239951.67905577048,23
63,15,29.0,22.0,22.0,29.0,0,3673.573278193405,243625.25233396387,15
64,17,48.0,36.0,29.0,48.0,48,4628.720002581359,248253.97233654524,65
65,65,8.0,25.0,48.0,8.0,0,5233.769933672447,253487.74227021768,65
66,27,14.0,33.0,8.0,14.0,0,3827.656241486875,257315.39851170455,27
67,20,28.0,34.0,14.0,28.0,0,3615.3072842237107,260930.70579592825,20
68,19,38.0,29.0,28.0,38.0,38,4442.6567264609075,265373.36252238916,57
69,55,7.0,24.0,38.0,7.0,0,4994.649822192139,270368.0123445813,55
70,25,7.0,25.0,7.0,7.0,0,3739.927239050823,274107.9395836321,25
71,22,15.0,30.0,7.0,15.0,0,3775.4020649552513,277883.3416485874,22
72,24,18.0,27.0,15.0,18.0,18,4410.297677133982,282293.63932572136,42
73,33,9.0,24.0,18.0,9.0,0,4022.8852683215446,286316.5245940429,33
74,30,19.0,40.0,9.0,19.0,0,3798.736842063213,290115.2614361061,30
75,29,31.0,41.0,19.0,31.0,0,3824.789402947986,293940.0508390541,29
76,39,33.0,41.0,31.0,33.0,33,5245.638842921379,299185.68968197546,72
