grid_id,real_origin_demand,real_dest_demand,served_origin_veh5,served_dest_veh5,origin_service_rate_veh5,dest_service_rate_veh5,served_origin_veh10,served_dest_veh10,origin_service_rate_veh10,dest_service_rate_veh10,served_origin_veh20,served_dest_veh20,origin_service_rate_veh20,dest_service_rate_veh20,served_origin_veh40,served_dest_veh40,origin_service_rate_veh40,dest_service_rate_veh40,served_origin_veh80,served_dest_veh80,origin_service_rate_veh80,dest_service_rate_veh80
359,431.0,561.0,171.0,227.0,0.39675174013921116,0.40463458110516937,171.0,245.0,0.39675174013921116,0.43672014260249553,171.0,300.0,0.39675174013921116,0.5347593582887701,171.0,301.0,0.39675174013921116,0.5365418894830659,171.0,300.0,0.39675174013921116,0.5347593582887701
1435,357.0,425.0,98.0,117.0,0.27450980392156865,0.2752941176470588,98.0,159.0,0.27450980392156865,0.37411764705882355,98.0,166.0,0.27450980392156865,0.3905882352941176,98.0,166.0,0.27450980392156865,0.3905882352941176,98.0,166.0,0.27450980392156865,0.3905882352941176
885,5094.0,4919.0,1067.0,1062.0,0.2094621122889674,0.21589754015043708,1238.0,1228.0,0.24303101688260698,0.24964423663346208,1419.0,1400.0,0.2785630153121319,0.2846106932303314,1411.0,1372.0,0.2769925402434236,0.2789184793657247,1580.0,1503.0,0.31016882606988616,0.30554990851799146
659,2074.0,1820.0,514.0,509.0,0.24783027965284474,0.2796703296703297,558.0,548.0,0.2690453230472517,0.3010989010989011,766.0,746.0,0.36933461909353904,0.4098901098901099,763.0,723.0,0.3678881388621022,0.39725274725274723,827.0,747.0,0.3987463837994214,0.4104395604395604
1091,1569.0,1578.0,550.0,545.0,0.3505417463352454,0.3453738910012674,662.0,652.0,0.4219247928616954,0.4131812420785805,719.0,699.0,0.45825366475462076,0.4429657794676806,722.0,722.0,0.46016571064372214,0.45754119138149557,722.0,707.0,0.46016571064372214,0.4480354879594423
1398,3352.0,3259.0,348.0,344.0,0.10381861575178998,0.10555385087450138,384.0,374.0,0.11455847255369929,0.11475912856704511,441.0,422.0,0.13156324582338902,0.12948757287511506,444.0,404.0,0.1324582338902148,0.12396440625958884,465.0,385.0,0.13872315035799523,0.11813439705431114
1102,2510.0,2732.0,813.0,808.0,0.32390438247011955,0.2957540263543192,958.0,950.0,0.3816733067729084,0.34773060029282576,1018.0,1013.0,0.4055776892430279,0.37079062957540265,1018.0,1059.0,0.4055776892430279,0.3876281112737921,1018.0,1128.0,0.4055776892430279,0.4128843338213763
566,368.0,358.0,205.0,200.0,0.5570652173913043,0.5586592178770949,214.0,204.0,0.5815217391304348,0.5698324022346368,232.0,222.0,0.6304347826086957,0.6201117318435754,232.0,222.0,0.6304347826086957,0.6201117318435754,232.0,222.0,0.6304347826086957,0.6201117318435754
849,2624.0,2620.0,598.0,593.0,0.22789634146341464,0.22633587786259543,629.0,619.0,0.23971036585365854,0.2362595419847328,739.0,719.0,0.2816310975609756,0.27442748091603053,755.0,715.0,0.28772865853658536,0.2729007633587786,881.0,801.0,0.3357469512195122,0.3057251908396947
1296,58.0,42.0,9.0,4.0,0.15517241379310345,0.09523809523809523,14.0,4.0,0.2413793103448276,0.09523809523809523,20.0,4.0,0.3448275862068966,0.09523809523809523,20.0,4.0,0.3448275862068966,0.09523809523809523,20.0,4.0,0.3448275862068966,0.09523809523809523
196,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,2427.0,2449.0,543.0,539.0,0.22373300370828184,0.22008983258472847,619.0,610.0,0.2550473836011537,0.2490812576561862,687.0,667.0,0.2830655129789864,0.2723560636994692,686.0,647.0,0.2826534816646065,0.26418946508779095,739.0,669.0,0.3044911413267408,0.273172723560637
535,2102.0,1928.0,452.0,448.0,0.21503330161750714,0.23236514522821577,591.0,581.0,0.28116079923882015,0.3013485477178423,656.0,637.0,0.3120837297811608,0.3303941908713693,726.0,686.0,0.34538534728829684,0.3558091286307054,756.0,676.0,0.35965746907706947,0.3506224066390041
1013,3157.0,3023.0,748.0,744.0,0.23693379790940766,0.24611313264968573,856.0,847.0,0.27114349065568577,0.2801852464439299,1004.0,987.0,0.3180234399746595,0.3264968574263976,975.0,937.0,0.3088375039594552,0.3099569963612306,1076.0,997.0,0.34082990180551154,0.32980482963943103
783,9179.0,12696.0,2251.0,2247.0,0.24523368558666522,0.17698487712665406,3163.0,3153.0,0.3445909140429241,0.2483459357277883,4093.0,4133.0,0.4459091404292407,0.3255356017643352,4093.0,4386.0,0.4459091404292407,0.3454631379962193,4093.0,4982.0,0.4459091404292407,0.39240705734089476
672,1084.0,1135.0,333.0,328.0,0.30719557195571956,0.2889867841409692,373.0,382.0,0.3440959409594096,0.3365638766519824,373.0,409.0,0.3440959409594096,0.360352422907489,373.0,419.0,0.3440959409594096,0.36916299559471366,373.0,411.0,0.3440959409594096,0.36211453744493394
1370,454.0,285.0,47.0,42.0,0.10352422907488987,0.14736842105263157,60.0,50.0,0.13215859030837004,0.17543859649122806,70.0,50.0,0.15418502202643172,0.17543859649122806,90.0,50.0,0.19823788546255505,0.17543859649122806,130.0,50.0,0.28634361233480177,0.17543859649122806
965,4676.0,4267.0,935.0,930.0,0.19995722840034216,0.217951722521678,1179.0,1170.0,0.25213857998289135,0.27419732833372396,1444.0,1426.0,0.3088109495295124,0.33419264119990627,1335.0,1295.0,0.2855004277159966,0.30349191469416453,1633.0,1557.0,0.3492301112061591,0.364893367705648
1068,1054.0,1143.0,343.0,346.0,0.325426944971537,0.3027121609798775,343.0,402.0,0.325426944971537,0.35170603674540685,343.0,425.0,0.325426944971537,0.37182852143482065,343.0,415.0,0.325426944971537,0.363079615048119,343.0,419.0,0.325426944971537,0.3665791776027997
1229,2739.0,2358.0,705.0,700.0,0.2573932092004381,0.2968617472434266,821.0,813.0,0.2997444322745528,0.34478371501272265,946.0,926.0,0.3453815261044177,0.3927056827820187,941.0,901.0,0.34355604235122306,0.38210347752332485,982.0,904.0,0.35852500912741875,0.3833757421543681
