time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
261,10,531.0,0.0,370.0
262,12,538.0,0.0,371.0
263,19,556.0,0.0,366.0
264,18,564.0,0.0,367.0
265,13,578.0,0.0,373.0
266,25,601.0,0.0,363.0
267,9,607.0,0.0,370.0
268,16,619.0,0.0,367.0
269,12,640.0,0.0,371.0
270,21,652.0,0.0,364.0
271,20,653.0,0.0,370.0
272,20,662.0,0.0,369.0
273,10,660.0,0.0,379.0
274,14,676.0,0.0,384.0
275,19,683.0,0.0,378.0
276,14,687.0,0.0,384.0
277,18,693.0,0.0,380.0
278,11,689.0,0.0,387.0
279,11,694.0,0.0,387.0
280,10,710.0,0.0,392.0
281,19,715.0,0.0,388.0
282,16,720.0,0.0,387.0
283,17,725.0,0.0,388.0
284,14,729.0,0.0,388.0
285,19,728.0,0.0,381.0
286,13,733.0,0.0,382.0
287,15,730.0,0.0,382.0
288,17,729.0,0.0,378.0
289,10,733.0,0.0,379.0
290,16,727.0,0.0,374.0
291,10,720.0,0.0,377.0
292,12,714.0,0.0,376.0
293,7,710.0,0.0,375.0
294,5,701.0,0.0,379.0
295,8,700.0,0.0,372.0
296,8,699.0,0.0,366.0
297,4,698.0,0.0,368.0
298,9,698.0,0.0,366.0
299,9,718.0,0.0,370.0
300,5,738.0,0.0,380.0
301,5,767.0,0.0,381.0
302,5,795.0,0.0,380.0
303,8,809.0,0.0,379.0
304,7,840.0,0.0,383.0
305,7,868.0,0.0,385.0
306,18,895.0,0.0,376.0
307,7,905.0,0.0,388.0
308,16,920.0,0.0,387.0
309,9,940.0,0.0,396.0
310,10,956.0,0.0,396.0
311,15,977.0,0.0,396.0
312,14,998.0,0.0,394.0
313,9,1005.0,0.0,400.0
314,14,1021.0,0.0,402.0
315,13,1034.0,0.0,409.0
316,14,1053.0,0.0,408.0
317,15,1068.0,0.0,409.0
318,21,1086.0,0.0,411.0
319,15,1092.0,0.0,421.0
320,17,1110.0,0.0,423.0
321,21,1119.0,0.0,426.0
322,33,1123.0,0.0,417.0
323,19,1112.0,0.0,425.0
324,14,1109.0,0.0,434.0
325,28,1110.0,0.0,425.0
326,21,1111.0,0.0,428.0
327,26,1116.0,0.0,424.0
328,29,1110.0,0.0,421.0
329,15,1098.0,0.0,438.0
330,13,1110.0,0.0,437.0
331,30,1124.0,0.0,423.0
332,16,1124.0,0.0,428.0
333,11,1129.0,0.0,434.0
334,17,1132.0,0.0,430.0
335,17,1130.0,0.0,428.0
336,18,1123.0,0.0,428.0
337,19,1116.0,0.0,423.0
338,16,1107.0,0.0,424.0
339,21,1104.0,0.0,417.0
340,12,1091.0,0.0,423.0
341,22,1084.0,0.0,412.0
342,9,1071.0,0.0,419.0
343,10,1065.0,0.0,416.0
344,12,1057.0,0.0,414.0
345,9,1051.0,0.0,413.0
346,6,1054.0,0.0,414.0
347,7,1067.0,0.0,412.0
348,8,1086.0,0.0,414.0
349,21,1118.0,0.0,403.0
350,14,1129.0,0.0,414.0
351,12,1147.0,0.0,415.0
352,7,1160.0,0.0,422.0
353,9,1184.0,0.0,426.0
354,19,1204.0,0.0,419.0
355,9,1215.0,0.0,429.0
356,17,1231.0,0.0,425.0
357,13,1246.0,0.0,432.0
358,23,1255.0,0.0,424.0
359,31,1266.0,0.0,414.0
360,21,1260.0,0.0,428.0
361,21,1263.0,0.0,433.0
362,16,1274.0,0.0,441.0
363,15,1282.0,0.0,441.0
364,25,1298.0,0.0,431.0
365,35,1280.0,0.0,443.0
366,33,1269.0,0.0,450.0
367,29,1259.0,0.0,464.0
368,14,1228.0,0.0,505.0
369,16,1207.0,0.0,533.0
370,51,1188.0,0.0,534.0
371,25,1170.0,0.0,561.0
372,52,1172.0,0.0,532.0
373,61,1137.0,0.0,525.0
