time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
38,0.0016190476190476191,34,97.30948011591212,146,0.006952380952380952,26934.281638134085
39,0.0012857142857142856,27,97.42541992359493,202,0.009619047619047619,27081.983717624717
40,0.0011904761904761906,25,97.2747472408431,178,0.008476190476190476,29620.59148299131
41,0.0015238095238095239,32,97.12722906098081,151,0.007190476190476191,30140.564791294408
42,0.0017619047619047618,37,96.76179174390907,191,0.009095238095238095,30965.047752358816
43,0.002,42,96.22995527707982,249,0.011857142857142858,31960.069436077574
44,0.0014761904761904762,31,95.94292806669974,392,0.018666666666666668,28879.151142806895
45,0.0015714285714285715,33,95.56738697317137,437,0.02080952380952381,30061.63260143798
46,0.0017619047619047618,37,95.70265518114998,663,0.03157142857142857,22363.59328701837
47,0.002142857142857143,45,95.86936690868788,606,0.028857142857142856,19630.179627874237
48,0.0019523809523809524,41,95.92733605064342,631,0.03004761904761905,19132.36042723452
49,0.0032380952380952383,68,95.94567238990996,550,0.02619047619047619,18077.706574869182
50,0.003761904761904762,79,96.47103038142097,675,0.03214285714285714,11358.53133903394
51,0.003904761904761905,82,96.99185555555518,631,0.03004761904761905,9873.393387507493
52,0.003476190476190476,73,97.69076821654218,603,0.028714285714285713,5585.502434621865
53,0.003476190476190476,73,98.09012841003063,356,0.01695238095238095,5085.738012871137
54,0.0036666666666666666,77,98.32816758412318,253,0.012047619047619048,3269.308672494517
55,0.003904761904761905,82,98.43251521265681,198,0.009428571428571429,3070.907789348177
56,0.004190476190476191,88,98.46333379507993,182,0.008666666666666666,3727.138420545344
57,0.004190476190476191,88,98.52647476926386,186,0.008857142857142857,3456.091238479394
58,0.004190476190476191,88,98.32580956645353,172,0.00819047619047619,10209.229507433241
59,0.003285714285714286,69,98.40597432446,184,0.008761904761904762,10250.974177337632
60,0.0029047619047619048,61,97.85727404222536,169,0.008047619047619048,21932.046195895935
61,0.002142857142857143,45,97.43804034758114,158,0.007523809523809524,21768.48878090905
62,0.0021904761904761906,46,96.55246756006827,243,0.011571428571428571,25824.850352408666
63,0.0021904761904761906,46,95.73028664660453,295,0.014047619047619048,29625.52781453409
64,0.002142857142857143,45,95.28871500344007,481,0.022904761904761903,29468.47683361707
65,0.0019047619047619048,40,95.07447105272308,540,0.025714285714285714,29736.34417494411
66,0.0028095238095238095,59,94.82618207861381,550,0.02619047619047619,32804.252687902146
67,0.003904761904761905,82,95.01337350372884,706,0.03361904761904762,32226.13021029774
68,0.004142857142857143,87,95.5965067477002,709,0.033761904761904764,29107.961416643695
69,0.004333333333333333,91,96.0678267802551,615,0.029285714285714286,28194.88210967973
70,0.003285714285714286,69,96.55862533125989,502,0.023904761904761904,26627.09218277342
71,0.0029047619047619048,61,96.86880073502124,418,0.019904761904761904,26164.511380047363
72,0.0027142857142857142,57,96.88405358965714,338,0.016095238095238096,28072.027053629987
73,0.003,63,96.79334920500459,280,0.013333333333333334,27964.063181598376
74,0.002476190476190476,52,96.56238513649383,259,0.012333333333333333,30311.2019145549
75,0.0021904761904761906,46,96.40260015608517,298,0.01419047619047619,30067.09202397792
76,0.002380952380952381,50,96.35011583268094,373,0.017761904761904763,31216.288879846055
77,0.002380952380952381,50,96.2798623241868,363,0.017285714285714286,30992.082996212874
