idx,Grid ID,avg_lat,avg_lon,real_total_demand,cluster_label,is_selected_site
240,240,31.0689,121.4777,20,20,False
241,241,31.0689,121.4877,385,20,False
242,242,31.0689,121.4977,777,20,False
243,243,31.0689,121.5077,884,20,False
244,244,31.0689,121.5177,1797,20,False
245,245,31.0689,121.5277,1200,20,False
246,246,31.0689,121.5377,573,20,False
247,247,31.0689,121.5477,24,8,False
248,248,31.0689,121.5577,51,8,False
249,249,31.0689,121.5677,17,8,False
250,250,31.0689,121.5777,428,8,False
251,251,31.0689,121.5877,547,8,False
252,252,31.0689,121.5977,62,8,False
253,253,31.0689,121.6077,25,8,False
254,254,31.0689,121.6177,37,8,False
255,255,31.0689,121.6277,57,8,False
256,256,31.0689,121.6377,145,8,False
257,257,31.0789,121.2177,2,0,False
258,258,31.0789,121.2277,66,0,False
259,259,31.0789,121.2377,28,0,False
260,260,31.0789,121.2477,148,0,False
261,261,31.0789,121.2577,601,0,False
262,262,31.0789,121.2677,407,0,False
263,263,31.0789,121.2777,175,0,False
264,264,31.0789,121.2877,17,0,False
265,265,31.0789,121.2977,9,0,False
266,266,31.0789,121.3077,310,0,False
267,267,31.0789,121.3177,1389,10,False
268,268,31.0789,121.3277,1197,10,False
269,269,31.0789,121.3377,2613,10,False
270,270,31.0789,121.3477,627,10,False
271,271,31.0789,121.3577,1476,10,False
272,272,31.0789,121.3677,3289,10,False
273,273,31.0789,121.3777,3378,10,False
274,274,31.0789,121.3877,2811,10,False
275,275,31.0789,121.3977,7503,10,False
276,276,31.0789,121.4077,2336,10,False
277,277,31.0789,121.4177,3985,10,False
278,278,31.0789,121.4277,1081,20,False
279,279,31.0789,121.4377,1920,20,False
280,280,31.0789,121.4477,360,20,False
281,281,31.0789,121.4577,420,20,False
282,282,31.0789,121.4677,2,20,False
283,283,31.0789,121.4777,37,20,False
284,284,31.0789,121.4877,2057,20,False
285,285,31.0789,121.4977,5037,20,False
286,286,31.0789,121.5077,1903,20,False
