takeoff_grid_id,landing_grid_id,hour_of_day,day_type,total_trip_count,avg_trip_count_per_bin,access_km,egress_km
1067,794,1,workday,15.0,0.35714285714285715,1.9845143630750628,1.99389693950612
1067,794,2,offday,3.0,0.1875,3.3362599504526993,1.9280862046599074
1067,794,2,workday,4.0,0.09523809523809523,2.92975495841321,1.6702488415332062
1067,794,3,workday,3.0,0.07142857142857142,2.9596830186635343,1.9567395845521194
1067,794,4,offday,3.0,0.1875,1.1213143130998697,1.7099757303192176
1067,794,4,workday,4.0,0.09523809523809523,1.9642614617014713,1.5949230045763132
1067,794,5,offday,8.0,0.5,2.1301906881066115,2.2064553084605163
1067,794,5,workday,45.0,1.0714285714285714,2.3971445401313782,1.761483537740913
1067,794,6,offday,15.0,0.9375,1.7632035175339869,1.7646731203873358
1067,794,6,workday,81.0,1.9285714285714286,2.5334296026601266,1.7698308296031995
1067,794,7,offday,29.0,1.8125,2.3562959488048953,1.191374671202981
1067,794,7,workday,66.0,1.5714285714285714,2.508828272352028,1.5451582441565814
1067,794,8,offday,48.0,3.0,2.2076929022278184,1.3984308955137428
1067,794,8,workday,79.0,1.880952380952381,2.2137897247442124,1.601015905271204
1067,794,9,offday,34.0,2.125,1.8829710088764278,1.7154669583963373
1067,794,9,workday,116.0,2.761904761904762,2.218756790132294,1.6005882475320434
1067,794,10,offday,30.0,1.875,2.2157448880237216,1.2716321414612712
1067,794,10,workday,115.0,2.738095238095238,2.361397745369086,1.4155470931199339
1067,794,11,offday,28.0,1.75,2.221064179860453,1.4722133465626526
1067,794,11,workday,112.0,2.6666666666666665,2.3687125014411,1.6252778309575757
1067,794,12,offday,36.0,2.25,2.718995919622378,1.4066347095385674
1067,794,12,workday,93.0,2.2142857142857144,2.5384552260605804,1.6736604405196893
1067,794,13,offday,25.0,1.5625,1.8896799478953838,1.3520021392436095
1067,794,13,workday,93.0,2.2142857142857144,2.5615512586441964,1.632501136803611
1067,794,14,offday,21.0,1.3125,1.8887895385408418,1.3272842459429643
1067,794,14,workday,82.0,1.9523809523809523,2.396079644006642,1.5820291071573653
1067,794,15,offday,28.0,1.75,1.7968299728137727,1.381489280628596
1067,794,15,workday,94.0,2.238095238095238,2.228001318533405,1.949964727000717
1067,794,16,offday,22.0,1.375,2.2151841676377413,1.7005369590180364
1067,794,16,workday,75.0,1.7857142857142858,2.4596146126971714,1.503259031714621
1067,794,17,offday,25.0,1.5625,2.4753376119040564,1.4944029859568542
1067,794,17,workday,88.0,2.0952380952380953,2.3602846437170757,1.5502867239019742
1067,794,18,offday,23.0,1.4375,2.456551203643058,1.6906567441593836
1067,794,18,workday,79.0,1.880952380952381,2.701063683134122,1.528176995955535
1067,794,19,offday,24.0,1.5,1.8631685686030677,1.9320957295711312
1067,794,19,workday,113.0,2.6904761904761907,2.922638749066437,1.6414397827449572
1067,794,20,offday,20.0,1.25,2.1234513456759982,1.7307682592906204
1067,794,20,workday,99.0,2.357142857142857,2.3442017965234583,1.7639674840848256
1067,794,21,offday,20.0,1.25,2.304950151015178,1.662435095621247
1067,794,21,workday,103.0,2.4523809523809526,2.2569255800316923,1.7669296536657744
1067,794,22,offday,19.0,1.1875,2.6745470786814467,1.8481478888680152
1067,794,22,workday,87.0,2.0714285714285716,2.3097000067287894,1.6629535340258579
1067,794,23,offday,12.0,0.75,2.0947634298292197,1.015591335919258
1067,794,23,workday,41.0,0.9761904761904762,2.4983139997610704,1.7460984041238832
1067,834,0,offday,3.0,0.1875,2.5960677235466076,1.440246919192125
1067,834,0,workday,12.0,0.2857142857142857,2.3530603866760593,1.5666567909089857
1067,834,1,offday,5.0,0.3125,2.6182253975925005,1.450322117363606
1067,834,1,workday,5.0,0.11904761904761904,2.646859816276285,1.8098280214620566
1067,834,3,offday,4.0,0.25,1.4443392158859827,1.7250835647464675
1067,834,3,workday,2.0,0.047619047619047616,3.8813565943504234,1.2071220251452646
1067,834,4,workday,4.0,0.09523809523809523,2.732511229847736,1.4631628547583122
1067,834,5,offday,3.0,0.1875,2.0981936970059776,1.6109516992292685
1067,834,5,workday,8.0,0.19047619047619047,1.6619981408321005,1.269572241864593
1067,834,6,offday,8.0,0.5,2.0317731636566885,1.6691107455222292
1067,834,6,workday,33.0,0.7857142857142857,2.3490569432892223,1.4143085323219882
1067,834,7,offday,16.0,1.0,2.3178993262321645,1.3319171668332648
1067,834,7,workday,82.0,1.9523809523809523,2.170639723887454,1.407991590787148
1067,834,8,offday,11.0,0.6875,2.2994912705254684,0.900901410451149
1067,834,8,workday,73.0,1.7380952380952381,2.635138430007914,1.170681845809176
1067,834,9,offday,9.0,0.5625,1.9583542050511038,1.6438505727090489
1067,834,9,workday,66.0,1.5714285714285714,1.958734119917615,1.3185334847283554
1067,834,10,offday,11.0,0.6875,2.234143856189531,1.602535304849375
1067,834,10,workday,151.0,3.5952380952380953,2.427712953869798,1.1584830552653809
1067,834,11,offday,23.0,1.4375,2.227027402148799,1.3598727337913763
1067,834,11,workday,130.0,3.0952380952380953,1.9224685795035275,1.4875802727445604
1067,834,12,offday,87.0,5.4375,3.5774502859869126,1.4202405459422167
1067,834,12,workday,74.0,1.7619047619047619,3.056442135192583,1.4989501880839768
1067,834,13,offday,68.0,4.25,4.049252099291834,1.4926391336537854
1067,834,13,workday,43.0,1.0238095238095237,2.3391617824764555,1.4531810499577114
1067,834,14,offday,17.0,1.0625,2.039062021376614,1.717513172199807
1067,834,14,workday,87.0,2.0714285714285716,2.1621594920231875,1.4710365501496159
1067,834,15,offday,20.0,1.25,2.4150670512049977,1.3926561084756002
1067,834,15,workday,122.0,2.9047619047619047,2.3797920213714994,1.423968844958654
1067,834,16,offday,19.0,1.1875,2.5371236109756823,1.1981395848813916
1067,834,16,workday,56.0,1.3333333333333333,3.1572097117588065,1.452109301244945
1067,834,17,offday,22.0,1.375,2.4281815295420017,1.1232537306873958
1067,834,17,workday,107.0,2.5476190476190474,2.284022631567261,1.3178294651483657
1067,834,18,offday,82.0,5.125,3.222762024712037,1.41259578311821
1067,834,18,workday,61.0,1.4523809523809523,2.9336903250178863,1.5333103820928424
1067,834,19,offday,12.0,0.75,2.0529836331304705,1.450673354653774
1067,834,19,workday,38.0,0.9047619047619048,2.7701318487804287,1.3688384062797738
1067,834,20,offday,51.0,3.1875,2.291046493114874,1.5961379579751098
1067,834,20,workday,82.0,1.9523809523809523,2.4991271457720745,1.614749938657987
1067,834,21,offday,16.0,1.0,2.0574503312576486,1.6150270901360702
