0.065765,0.025163,0.000006,0.030974,0.000030,0.002497,0.000360,0.185431,0.002058,0.079106,0.000000,0.000003,0.011715,0.361287,0.002655,0.000004,0.000312,0.229492,0.001103,0.000015,0.213562,0.000058,0.566890,0.002968,0.075254,0.042304,0.000000,0.014234,0.000007,0.000062
0.000000,0.018355,0.057737,0.049408,0.000013,0.006093,0.329408,0.002122,0.000000,0.017823,0.000003,0.000000,0.009366,0.001240,0.269779,0.572339,0.044234,0.000083,0.000394,0.186792,0.000000,0.009350,0.000105,0.049605,0.004802,0.000215,0.001271,0.073422,0.000483,0.178747
0.000004,0.873939,0.149946,0.160117,0.078008,0.856242,0.288675,0.495599,0.042564,0.375777,0.011715,0.009366,0.000000,0.097851,0.178380,0.045849,0.564603,0.002858,0.470406,0.000584,0.005218,0.349773,0.157302,0.819380,0.019932,0.564567,0.009751,0.537541,0.117850,0.269779
0.014882,0.229817,0.000624,0.478567,0.000129,0.025409,0.025190,0.571230,0.000968,0.629790,0.361287,0.001240,0.097851,0.000000,0.121603,0.001035,0.010282,0.442008,0.005620,0.003835,0.018733,0.001705,0.571754,0.060348,0.571890,0.079430,0.000002,0.252210,0.000136,0.005140
0.000015,0.349773,0.057614,0.678829,0.000342,0.083569,0.634004,0.149916,0.000081,0.471458,0.002655,0.269779,0.178380,0.121603,0.000000,0.214147,0.163711,0.015595,0.010378,0.134450,0.000046,0.034560,0.027477,0.353717,0.176142,0.021096,0.000657,0.726959,0.002470,0.247765
0.000000,0.052453,0.400028,0.032262,0.000684,0.049034,0.590539,0.004989,0.000010,0.021634,0.000004,0.572339,0.045849,0.001035,0.214147,0.000000,0.252410,0.000021,0.007048,0.020127,0.000000,0.109306,0.000243,0.179433,0.001445,0.001854,0.034017,0.112855,0.014413,0.630024
0.000000,0.412355,0.678863,0.057490,0.078257,0.709993,0.537848,0.091475,0.006937,0.107154,0.000312,0.044234,0.564603,0.010282,0.163711,0.252410,0.000000,0.000131,0.329199,0.000822,0.000105,0.787184,0.012057,0.805320,0.002873,0.129107,0.107358,0.319271,0.291703,0.783453
0.185387,0.012598,0.000004,0.129480,0.000000,0.000365,0.000962,0.066047,0.000007,0.106950,0.229492,0.000083,0.002858,0.442008,0.015595,0.000021,0.000131,0.000000,0.000041,0.002656,0.002490,0.000009,0.113063,0.001702,0.564553,0.002292,0.000000,0.022033,0.000000,0.000078
0.000000,0.219195,0.112845,0.007207,0.583277,0.725111,0.044132,0.096203,0.235737,0.034413,0.001103,0.000394,0.470406,0.005620,0.010378,0.007048,0.329199,0.000041,0.000000,0.000003,0.003826,0.471458,0.029138,0.276507,0.000355,0.495560,0.036090,0.066259,0.471777,0.091517
0.000002,0.002807,0.000362,0.073151,0.000000,0.000137,0.028817,0.000964,0.000000,0.013748,0.000015,0.186792,0.000584,0.003835,0.134450,0.020127,0.000822,0.002656,0.000003,0.000000,0.000000,0.000053,0.000105,0.002888,0.045846,0.000014,0.000001,0.021555,0.000001,0.004185
0.000682,0.004989,0.000002,0.000602,0.000528,0.002121,0.000017,0.041259,0.059639,0.004791,0.213562,0.000000,0.005218,0.018733,0.000046,0.000000,0.000105,0.002490,0.003826,0.000000,0.000000,0.000058,0.185372,0.000617,0.000619,0.073384,0.000000,0.000905,0.000032,0.000007
0.000000,0.178380,0.678863,0.009546,0.229866,0.629898,0.206563,0.031131,0.014236,0.025472,0.000058,0.009350,0.349773,0.001705,0.034560,0.109306,0.787184,0.000009,0.471458,0.000053,0.000058,0.000000,0.003638,0.442695,0.000262,0.101606,0.279424,0.096466,0.674080,0.485548
0.004794,0.235744,0.000603,0.130978,0.001640,0.056599,0.009411,0.709973,0.021066,0.345408,0.566890,0.000105,0.157302,0.571754,0.027477,0.000243,0.012057,0.113063,0.029138,0.000105,0.185372,0.003638,0.000000,0.057758,0.106916,0.318624,0.000005,0.129107,0.000692,0.003090
0.000001,0.783403,0.329303,0.206302,0.038336,0.725184,0.629934,0.288617,0.008561,0.346112,0.002968,0.049605,0.819380,0.060348,0.353717,0.179433,0.805320,0.001702,0.276507,0.002888,0.000617,0.442695,0.057758,0.000000,0.020650,0.235764,0.021567,0.673973,0.113632,0.590532
