avg_noise,total_demand,total_price,total_dist_km,min_pairwise_sep_km,feasible
1.04166668,832607.0,701273.0091200457,62.065514007652006,3.0602932570069243,True
1.08333332,683386.0,515821.121274654,83.40301549352205,3.0611376745422567,True
1.0875000199999998,1034675.0,633746.0719233085,62.00089785759383,3.0602932570069243,True
1.07083334,1033206.0,734083.0741007561,47.32618852807856,3.0602932570069243,True
1.12083332,1049978.0,622773.6268707342,62.09159854354101,3.4687253777297324,True
1.05000002,843708.0,719480.2034382275,51.940866451227386,3.0602932570069243,True
1.0374999800000002,786446.0,640601.1769912136,73.08658945798368,3.0602932570069243,True
1.04583332,595951.0,582930.4423168841,86.93521478620855,3.0602932570069243,True
1.0541667000000001,777011.0,681296.7836292783,56.11109861307558,3.0602932570069243,True
1.06666664,610158.0,531199.7424925538,83.14461672212681,3.060574806509673,True
1.05416666,955591.0,751644.4808475277,53.48555897463103,3.0602932570069243,True
1.0666666599999999,1046498.0,750193.3869685743,51.061432409083544,3.0602932570069243,True
1.04166668,663061.0,653368.343823401,66.47345494674374,3.0602932570069243,True
1.05416664,691070.0,570036.0275167085,82.67501091008259,3.0611376745422567,True
1.05833332,676597.0,546423.4288577046,78.5736035573804,3.0611376745422567,True
1.07083332,1069405.0,755634.0170317382,48.09103763794792,3.0602932570069243,True
1.05833332,912857.0,739506.7242999086,52.591127963834836,3.0602932570069243,True
1.0499999800000002,604469.0,562536.1233021491,80.88457755719786,3.0611376745422567,True
1.075,1075616.0,743054.351023833,45.98490747684406,3.0602932570069243,True
1.1083333400000002,1013314.0,575765.1450062877,70.66381841185361,3.0619813989625246,True
1.0624999800000001,645568.0,542037.5401429711,86.4622609362427,3.0611376745422567,True
1.06666664,672612.0,535833.3900898078,87.00707796253731,3.0611376745422567,True
1.0791666599999998,1105042.0,744354.4192056512,48.83421639625914,3.0602932570069243,True
1.08333334,1088517.0,728584.024100756,46.52852317364435,3.0602932570069243,True
1.0624999800000001,950764.0,701006.0391722342,59.62733234533121,3.0602932570069243,True
1.0583333,798592.0,577905.501200919,80.06020638330338,3.0611376745422567,True
1.0666666599999999,651779.0,529457.8741350659,84.35613077513884,3.0602932570069243,True
1.0708332999999999,872004.0,580264.7249486942,73.51709149942378,3.060574806509673,True
1.075,984591.0,714470.4606729558,52.12133172896186,3.0602932570069243,True
1.0791666599999998,1082306.0,741163.6901086613,48.63465333474821,3.0614189930459865,True
1.09583332,789228.0,511491.21400648355,84.8896240174692,3.0619813989625246,True
1.07083332,1119785.0,734675.6606527847,52.942249709409964,3.0602932570069243,True
1.08749998,853247.0,535333.4307076568,85.9621844339117,3.0611376745422567,True
1.0375,784232.0,673353.3231163303,66.87151411403056,3.0602932570069243,True
1.0791666599999998,796777.0,540237.5125790018,82.56805848820201,3.0611376745422567,True
1.0791666599999998,1145670.0,727876.5424709666,49.295275435560676,3.0602932570069243,True
1.07083332,874658.0,559379.5652105808,81.55479151284739,3.0602932570069243,True
1.0874999600000002,767500.0,532319.1264638457,82.19651443356419,3.0611376745422567,True
1.04166666,816256.0,646532.6029778786,73.17572263474109,3.4686426187509936,True
1.0499999800000002,641019.0,586166.2684038406,80.45794901901884,3.0602932570069243,True
1.0625000199999999,971019.0,703675.3496795865,56.598239665939474,3.0602932570069243,True
1.0875,1080258.0,670444.2878049511,57.5400611826337,3.0602932570069243,True
1.0625,733203.0,565458.2506080264,76.99989450610502,3.46869779664105,True
1.0374999800000002,620769.0,599895.9970395227,81.1526875684501,3.4686426187509936,True
1.08333332,1059846.0,608616.8850936217,69.1060281726422,3.0602932570069243,True
1.0583333,618508.0,561386.060674372,82.29596916887044,3.060574806509673,True
1.0833333,1101918.0,617569.068273244,70.26202160782213,3.0611376745422567,True
